dataset,rep,RME_All,RME_Nonzeros,RMSE,aucpr,threshold,precision,recall,f1,n_selected
Dataset III,0,1.6377610978018486,1.6093458196998975,5.077048651467979,0.5830065699294456,0.011059892717012725,0.08932461873638345,0.82,0.16110019646365425,459
Dataset III,1,1.8037949085709408,1.77095114436805,5.222827692491946,0.5425570700175948,0.00689735838031623,0.04875406283856988,0.9,0.09249743062692703,923
Dataset III,2,2.0858012015785317,2.0461151399104556,4.890307479286919,0.4466386533907028,0.0005863252149245704,0.009861932938856016,1.0,0.01953125,5070
Dataset III,3,1.7521915422916137,1.7162439136228864,5.110763691433859,0.6167510255145005,0.001805633171002886,0.018148820326678767,1.0,0.035650623885918005,2755
Dataset III,4,1.6464710267162064,1.6169568120918065,5.195158170924295,0.7053085124627481,0.0027141748715425367,0.023694390715667313,0.98,0.04627006610009444,2068
Dataset III,5,1.3491327629280883,1.3192049024401116,5.747120336659186,0.7589233106588184,0.006323396817963657,0.05183585313174946,0.96,0.0983606557377049,926
Dataset III,6,1.579980957623889,1.5467824114226127,4.079266823766866,0.5571172520238326,0.0113292540149279,0.09287257019438445,0.86,0.1676413255360624,463
Dataset III,7,1.5394502220234412,1.5110832362050857,4.6549755947745455,0.6016476285448127,0.0009797265200602598,0.013473457289140393,1.0,0.026588673225206062,3711
Dataset III,8,1.8853331985415585,1.8635797264685923,4.2956886225521185,0.5453074928895628,0.017890345176691105,0.15151515151515152,0.7,0.24911032028469754,231
Dataset III,9,1.7647175740234524,1.734117909596225,4.628631890207599,0.5498886336185402,0.0032933626740583683,0.03032178217821782,0.98,0.058823529411764705,1616
Dataset IV,0,1.2909608529452938,1.2387417354939718,4.749284369637554,0.4469137879666834,0.006946476802835301,0.03160667251975417,0.72,0.06055508830950379,1139
Dataset IV,1,1.2903963329839752,1.2378946574277632,4.885343801421911,0.35843920998598433,0.008042148579676767,0.03837719298245614,0.7,0.07276507276507277,912
Dataset IV,2,1.3201904415858559,1.2833691000114886,5.000015009501396,0.4215531684794701,0.02128074714682913,0.11688311688311688,0.54,0.19217081850533804,231
Dataset IV,3,1.2055957862550373,1.1715968415074496,4.182388180555204,0.45364638664587226,0.022513744578757978,0.12608695652173912,0.58,0.2071428571428571,230
Dataset IV,4,1.1411847858046507,1.0907423252882993,3.9343090006836103,0.39542769890889967,0.013484373281522662,0.06290672451193059,0.58,0.11350293542074365,461
Dataset IV,5,1.1061043406878348,1.0681584883196809,5.0438767409575185,0.46441237010184366,0.007545707274764493,0.041304347826086954,0.76,0.07835051546391751,920
Dataset IV,6,1.244051042224016,1.19381702166284,4.223443026975192,0.41276536246167084,0.006619710282378994,0.033942558746736295,0.78,0.06505421184320268,1149
Dataset IV,7,1.3248868478604292,1.2784433456315625,4.862318968899287,0.43745814681402834,0.0038582670800182883,0.021172638436482084,0.78,0.0412262156448203,1842
Dataset IV,8,1.4281411907327604,1.3850861483348718,4.165929648140443,0.41199922859516847,0.014500664812050042,0.061269146608315096,0.56,0.11045364891518739,457
Dataset IV,9,1.3084816063366649,1.261190649155835,4.694450307023698,0.49353518717861355,0.007793872510812718,0.03820960698689956,0.7,0.07246376811594202,916
